ID,Region of residence,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?"
R1,Delhi-NCR,21,2,Good,Laptop/Desktop,4,0,7,3,1,4,Increased,NO,Cooking,YES,YES
R2,Delhi-NCR,21,0,Excellent,Smartphone,0,2,10,3,0,3,Decreased,NO,Scrolling through social media,YES,NO
R3,Delhi-NCR,20,7,Very poor,Laptop/Desktop,3,0,6,2,0,3,Remain Constant,NO,Listening to music,NO,YES
R4,Delhi-NCR,20,3,Very poor,Smartphone,2,1,6,5,0,3,Decreased,NO,Watching web series,NO,NO
R5,Delhi-NCR,21,3,Good,Laptop/Desktop,3,1,8,3,1,4,Remain Constant,NO,Social Media,NO,NO
R6,Delhi-NCR,21,0,Very poor,Smartphone,6,0,5,1,0,1,Decreased,YES,Coding and studying for exams,NO,YES
R7,Delhi-NCR,19,2,Very poor,Smartphone,2,1,5,4,0,3,Increased,NO,Watching web series,NO,YES
R8,Outside Delhi-NCR,19,2,Very poor,Tablet,1,1,10,5,0,3,Increased,YES,Scrolling through social media,NO,YES
R9,Delhi-NCR,21,3,Very poor,Laptop/Desktop,4,1,8,2,1,3,Increased,NO,Online surfing,NO,NO
R10,Outside Delhi-NCR,20,0,Very poor,Laptop/Desktop,1,0.5,8,5,3,3,Decreased,YES,live stream watching,NO,NO
R11,Delhi-NCR,21,3,Good,Laptop/Desktop,3,1,8,3,1,4,Remain Constant,NO,Social Media,NO,NO
R12,Delhi-NCR,21,1,Very poor,Laptop/Desktop,0,1,7,3,1,2,Increased,YES,Watching web series,YES,YES
R13,Delhi-NCR,21,3,Average,Laptop/Desktop,0,0,8,3,0,3,Increased,YES,Listening to music,NO,NO
R14,Outside Delhi-NCR,22,1,Good,Laptop/Desktop,2,0,7,0,0.5,2,Increased,NO,Reading,YES,YES
R15,Delhi-NCR,20,5,Very poor,Laptop/Desktop,1,0,8,3,0,3,Remain Constant,NO,Scrolling through social media,NO,NO
R16,Delhi-NCR,22,3,Average,Smartphone,3,1,6,2,1,3,Increased,NO,Online gaming,YES,YES
R17,Outside Delhi-NCR,20,0,Good,Smartphone,0,0,8,2,1,3,Increased,NO,Online gaming,NO,YES
R18,Delhi-NCR,20,1,Very poor,Smartphone,2,1,8,1,0,3,Remain Constant,NO,Listening to music,NO,NO
R19,Delhi-NCR,21,0,Very poor,Laptop/Desktop,4,0,7,7,0,2,Remain Constant,NO,Reading books,NO,NO
R20,Delhi-NCR,22,5,Very poor,Smartphone,2,1,8,4,0,3,Increased,NO,Dancing,YES,YES
R21,Delhi-NCR,20,4,Excellent,Laptop/Desktop,5,0,6,2,1,2,Decreased,NO,Listening to music,YES,YES
R22,Delhi-NCR,21,5,Average,Laptop/Desktop,2,1,10,5,2,3,Remain Constant,NO,Talking with friends ,YES,NO
R23,Delhi-NCR,21,4,Very poor,Smartphone,1,0,8,6,1,4,Decreased,NO,Watching web series,NO,YES
R24,Delhi-NCR,21,4,Average,Laptop/Desktop,2,1,7,1,0,3,Decreased,NO,Dancing,YES,YES
R25,Delhi-NCR,20,3,Very poor,Smartphone,4,2,9,2,1,3,Decreased,NO,Reading books,YES,NO
R26,Delhi-NCR,20,5,Very poor,Smartphone,2,0,9,5,3,2,Increased,NO,Talking to your relatives,YES,YES
R27,Delhi-NCR,21,4,Very poor,Laptop/Desktop,5,0,8,3,0,2,Increased,YES,Listening to music,NO,YES
R28,Delhi-NCR,20,3,Very poor,Laptop/Desktop,6,0,9,2,0,2,Remain Constant,NO,Listening to music,NO,NO
R29,Delhi-NCR,31,8,Average,Laptop/Desktop,4,1,6,2,0.5,3,Remain Constant,NO,Listening to music,YES,YES
R30,Delhi-NCR,22,4,Very poor,Smartphone,6,1,5,3,0,4,Remain Constant,NO,"sketching,reading books,meditation,songs",NO,NO
R31,Delhi-NCR,19,4,Very poor,Smartphone,5,1,7,2,1,2,Decreased,YES,Listening to music,YES,YES
R32,Delhi-NCR,23,4,Excellent,Laptop/Desktop,18,1,8,2,0,2,Decreased,NO,Reading books,YES,YES
R33,Delhi-NCR,21,0,Very poor,NA,5,2,4,2,0,3,Remain Constant,NO,Watching orgasm releasing videos,YES,NO
R34,Delhi-NCR,22,5,Very poor,Laptop/Desktop,1,0,6,2,0.5,3,Decreased,YES,Watching web series,YES,YES
R36,Outside Delhi-NCR,21,6,Average,Smartphone,2,1,8,3,1,3,Remain Constant,NO,Cooking,NO,YES
R37,Delhi-NCR,17,4,Very poor,Laptop/Desktop,1,1,7,1.5,0,3,Decreased,NO,Reading books,NO,YES
R38,Outside Delhi-NCR,20,4,Average,Laptop/Desktop,2,0,8,2,0,3,Increased,NO,Sleep,NO,YES
R39,Outside Delhi-NCR,22,1,Very poor,Smartphone,2,0.5,8,2,2,3,Increased,NO,Listening to music,NO,YES
R41,Delhi-NCR,24,4,Good,Laptop/Desktop,4,2,6,4,0,4,Increased,NO,Social Media,YES,YES
R42,Outside Delhi-NCR,21,0,Very poor,Laptop/Desktop,0,0,10,8,1,4,Remain Constant,NO,Watching web series,YES,NO
R43,Delhi-NCR,20,7,Very poor,Smartphone,2,1,8,2,2,4,Remain Constant,YES,Listening to music,NO,NO
R44,Delhi-NCR,21,5,Very poor,Laptop/Desktop,3,1,8,1,0,2,Increased,NO,Listening to music,NO,NO
R45,Delhi-NCR,18,2,Average,Smartphone,2,3,12,1,0,4,Remain Constant,NO,Sleep,NO,NO
R46,Delhi-NCR,22,3,Very poor,Laptop/Desktop,2,0,8,1,0,4,Increased,NO,Cooking,NO,YES
R47,Delhi-NCR,20,2,Very poor,Smartphone,6,2,7,1,3,6,Decreased,NO,Listening to music,YES,NO
R48,Delhi-NCR,20,2,Very poor,Smartphone,3,0,6,2,0,3,Decreased,YES,Reading books,NO,NO
R49,Delhi-NCR,21,3,Very poor,Laptop/Desktop,4,2,8,2,0,4,Increased,NO,Listening to music,YES,YES
R50,Delhi-NCR,18,4,Good,Laptop/Desktop,2,0,8,4,0,3,Remain Constant,NO,Social Media,YES,YES
R51,Delhi-NCR,19,0,Very poor,Smartphone,1,0,8,2,2,3,Remain Constant,YES,Online gaming,NO,YES
R52,Delhi-NCR,20,5,Average,Laptop/Desktop,6,1,7,2,0,3,Remain Constant,NO,Reading books,NO,YES
R53,Delhi-NCR,21,3,Average,Laptop/Desktop,17,0,5,1,0,3,Increased,NO,Online gaming,NO,NO
